technique_id,technique_name,tactic_id,tactic_name
T1553.003,sip and trust provider hijacking,TA0112,defense impairment
T1553.004,install root certificate,TA0112,defense impairment
T1553.005,mark-of-the-web bypass,TA0112,defense impairment
T1553.006,code signing policy modification,TA0112,defense impairment
T1554,compromise host software binary,TA0003,persistence
T1555,credentials from password stores,TA0006,credential access
T1555.001,keychain,TA0006,credential access
T1555.002,securityd memory,TA0006,credential access
T1555.003,credentials from web browsers,TA0006,credential access
T1555.004,windows credential manager,TA0006,credential access
T1555.005,password managers,TA0006,credential access
T1555.006,cloud secrets management stores,TA0006,credential access
T1556,modify authentication process,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.001,domain controller authentication,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.002,password filter dll,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.003,pluggable authentication modules,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.004,network device authentication,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.005,reversible encryption,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.006,multi-factor authentication,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.007,hybrid identity,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.008,network provider dll,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1556.009,conditional access policies,TA0112|TA0003|TA0006,defense impairment|persistence|credential access
T1557,adversary-in-the-middle,TA0006|TA0009,credential access|collection
T1557.001,name resolution poisoning and smb relay,TA0006|TA0009,credential access|collection
T1557.002,arp cache poisoning,TA0006|TA0009,credential access|collection
T1557.003,dhcp spoofing,TA0006|TA0009,credential access|collection
T1557.004,evil twin,TA0006|TA0009,credential access|collection
T1558,steal or forge kerberos tickets,TA0006,credential access
T1558.001,golden ticket,TA0006,credential access
T1558.002,silver ticket,TA0006,credential access
T1558.003,kerberoasting,TA0006,credential access
T1558.004,as-rep roasting,TA0006,credential access
T1558.005,ccache files,TA0006,credential access
T1559,inter-process communication,TA0002,execution
T1559.001,component object model,TA0002,execution
T1559.002,dynamic data exchange,TA0002,execution
T1559.003,xpc services,TA0002,execution
T1560,archive collected data,TA0009,collection
T1560.001,archive via utility,TA0009,collection
T1560.002,archive via library,TA0009,collection
T1560.003,archive via custom method,TA0009,collection
T1561,disk wipe,TA0040,impact
T1561.001,disk content wipe,TA0040,impact
T1561.002,disk structure wipe,TA0040,impact
T1562,impair defenses,TA0005,stealth
T1562.001,disable or modify tools,TA0005,stealth
T1562.002,disable windows event logging,TA0005,stealth
T1562.003,impair command history logging,TA0005,stealth
T1562.004,disable or modify system firewall,TA0005,stealth
T1562.006,indicator blocking,TA0005,stealth
T1562.007,disable or modify cloud firewall,TA0005,stealth
T1562.008,disable or modify cloud logs,TA0005,stealth
T1562.009,safe mode boot,TA0005,stealth
T1562.010,downgrade attack,TA0005,stealth
T1562.011,spoof security alerting,TA0005,stealth
T1562.012,disable or modify linux audit system,TA0005,stealth
T1562.013,disable or modify network device firewall,TA0005,stealth
T1563,remote service session hijacking,TA0008,lateral movement
T1563.001,ssh hijacking,TA0008,lateral movement
T1563.002,rdp hijacking,TA0008,lateral movement
T1564,hide artifacts,TA0005,stealth
T1564.001,hidden files and directories,TA0005,stealth
T1564.002,hidden users,TA0005,stealth
T1564.003,hidden window,TA0005,stealth
T1564.004,ntfs file attributes,TA0005,stealth
T1564.005,hidden file system,TA0005,stealth
T1564.006,run virtual instance,TA0005,stealth
T1564.007,vba stomping,TA0005,stealth
T1564.008,email hiding rules,TA0005,stealth
T1564.009,resource forking,TA0005,stealth
T1564.010,process argument spoofing,TA0005,stealth
T1564.011,ignore process interrupts,TA0005,stealth
T1564.012,file/path exclusions,TA0005,stealth
T1564.013,bind mounts,TA0005,stealth
T1564.014,extended attributes,TA0005,stealth
T1565,data manipulation,TA0040,impact
T1565.001,stored data manipulation,TA0040,impact
T1565.002,transmitted data manipulation,TA0040,impact
T1565.003,runtime data manipulation,TA0040,impact
T1566,phishing,TA0001,initial access
T1566.001,spearphishing attachment,TA0001,initial access
T1566.002,spearphishing link,TA0001,initial access
T1566.003,spearphishing via service,TA0001,initial access
T1566.004,spearphishing voice,TA0001,initial access
T1567,exfiltration over web service,TA0010,exfiltration
T1567.001,exfiltration to code repository,TA0010,exfiltration
T1567.002,exfiltration to cloud storage,TA0010,exfiltration
T1567.003,exfiltration to text storage sites,TA0010,exfiltration
T1567.004,exfiltration over webhook,TA0010,exfiltration
T1568,dynamic resolution,TA0011,command and control
T1568.001,fast flux dns,TA0011,command and control
T1568.002,domain generation algorithms,TA0011,command and control
T1568.003,dns calculation,TA0011,command and control
T1569,system services,TA0002,execution
T1569.001,launchctl,TA0002,execution
T1569.002,service execution,TA0002,execution
T1569.003,systemctl,TA0002,execution
T1570,lateral tool transfer,TA0008,lateral movement
T1571,non-standard port,TA0011,command and control
T1572,protocol tunneling,TA0011,command and control
T1573,encrypted channel,TA0011,command and control
T1573.001,symmetric cryptography,TA0011,command and control
T1573.002,asymmetric cryptography,TA0011,command and control
T1574,hijack execution flow,TA0005|TA0002,stealth|execution
T1574.001,dll,TA0005|TA0002,stealth|execution
T1574.002,dll side-loading,TA0005|TA0002,stealth|execution
T1574.004,dylib hijacking,TA0005|TA0002,stealth|execution
T1574.005,executable installer file permissions weakness,TA0005|TA0002,stealth|execution
T1574.006,dynamic linker hijacking,TA0005|TA0002,stealth|execution
T1574.007,path interception by path environment variable,TA0005|TA0002,stealth|execution
T1574.008,path interception by search order hijacking,TA0005|TA0002,stealth|execution
T1574.009,path interception by unquoted path,TA0005|TA0002,stealth|execution
T1574.010,services file permissions weakness,TA0005|TA0002,stealth|execution
T1574.011,services registry permissions weakness,TA0005|TA0002,stealth|execution
T1574.012,cor_profiler,TA0005|TA0002,stealth|execution
T1574.013,kernelcallbacktable,TA0005|TA0002,stealth|execution
T1574.014,appdomainmanager,TA0005|TA0002,stealth|execution
T1578,modify cloud compute infrastructure,TA0112,defense impairment
T1578.001,create snapshot,TA0112,defense impairment
T1578.002,create cloud instance,TA0112,defense impairment
T1578.003,delete cloud instance,TA0112,defense impairment
T1578.004,revert cloud instance,TA0112,defense impairment
T1578.005,modify cloud compute configurations,TA0112,defense impairment
T1580,cloud infrastructure discovery,TA0007,discovery
T1583,acquire infrastructure,TA0042,resource development
T1583.001,domains,TA0042,resource development
T1583.002,dns server,TA0042,resource development
T1583.003,virtual private server,TA0042,resource development
T1583.004,server,TA0042,resource development
T1583.005,botnet,TA0042,resource development
T1583.006,web services,TA0042,resource development
T1583.007,serverless,TA0042,resource development
T1583.008,malvertising,TA0042,resource development
T1584,compromise infrastructure,TA0042,resource development
T1584.001,domains,TA0042,resource development
T1584.002,dns server,TA0042,resource development
T1584.003,virtual private server,TA0042,resource development
T1584.004,server,TA0042,resource development
T1584.005,botnet,TA0042,resource development
T1584.006,web services,TA0042,resource development
T1584.007,serverless,TA0042,resource development
T1584.008,network devices,TA0042,resource development
T1585,establish accounts,TA0042,resource development
T1585.001,social media accounts,TA0042,resource development
T1585.002,email accounts,TA0042,resource development
T1585.003,cloud accounts,TA0042,resource development
T1586,compromise accounts,TA0042,resource development
T1586.001,social media accounts,TA0042,resource development
T1586.002,email accounts,TA0042,resource development
T1586.003,cloud accounts,TA0042,resource development
T1587,develop capabilities,TA0042,resource development
T1587.001,malware,TA0042,resource development
T1587.002,code signing certificates,TA0042,resource development
T1587.003,digital certificates,TA0042,resource development
T1587.004,exploits,TA0042,resource development
T1588,obtain capabilities,TA0042,resource development
T1588.001,malware,TA0042,resource development
T1588.002,tool,TA0042,resource development
T1588.003,code signing certificates,TA0042,resource development
T1588.004,digital certificates,TA0042,resource development
T1588.005,exploits,TA0042,resource development
T1588.006,vulnerabilities,TA0042,resource development
T1588.007,artificial intelligence,TA0042,resource development
T1589,gather victim identity information,TA0043,reconnaissance
T1589.001,credentials,TA0043,reconnaissance
T1589.002,email addresses,TA0043,reconnaissance
T1589.003,employee names,TA0043,reconnaissance
T1590,gather victim network information,TA0043,reconnaissance
T1590.001,domain properties,TA0043,reconnaissance
T1590.002,dns,TA0043,reconnaissance
T1590.003,network trust dependencies,TA0043,reconnaissance
T1590.004,network topology,TA0043,reconnaissance
T1590.005,ip addresses,TA0043,reconnaissance
T1590.006,network security appliances,TA0043,reconnaissance
T1591,gather victim org information,TA0043,reconnaissance
T1591.001,determine physical locations,TA0043,reconnaissance
T1591.002,business relationships,TA0043,reconnaissance
T1591.003,identify business tempo,TA0043,reconnaissance
T1591.004,identify roles,TA0043,reconnaissance
T1592,gather victim host information,TA0043,reconnaissance
T1592.001,hardware,TA0043,reconnaissance
T1592.002,software,TA0043,reconnaissance
T1592.003,firmware,TA0043,reconnaissance
T1592.004,client configurations,TA0043,reconnaissance
T1593,search open websites/domains,TA0043,reconnaissance
T1593.001,social media,TA0043,reconnaissance
T1593.002,search engines,TA0043,reconnaissance
T1593.003,code repositories,TA0043,reconnaissance
T1594,search victim-owned websites,TA0043,reconnaissance
T1595,active scanning,TA0043,reconnaissance
T1595.001,scanning ip blocks,TA0043,reconnaissance
T1595.002,vulnerability scanning,TA0043,reconnaissance
T1595.003,wordlist scanning,TA0043,reconnaissance
T1596,search open technical databases,TA0043,reconnaissance
T1596.001,dns/passive dns,TA0043,reconnaissance
T1596.002,whois,TA0043,reconnaissance
T1596.003,digital certificates,TA0043,reconnaissance
T1596.004,cdns,TA0043,reconnaissance
T1596.005,scan databases,TA0043,reconnaissance
T1597,search closed sources,TA0043,reconnaissance
T1597.001,threat intel vendors,TA0043,reconnaissance
T1597.002,purchase technical data,TA0043,reconnaissance
T1598,phishing for information,TA0043,reconnaissance
T1598.001,spearphishing service,TA0043,reconnaissance
T1598.002,spearphishing attachment,TA0043,reconnaissance
T1598.003,spearphishing link,TA0043,reconnaissance
T1598.004,spearphishing voice,TA0043,reconnaissance
T1599,network boundary bridging,TA0112,defense impairment
T1599.001,network address translation traversal,TA0112,defense impairment
T1600,weaken encryption,TA0112,defense impairment
T1600.001,reduce key space,TA0112,defense impairment
T1600.002,disable crypto hardware,TA0112,defense impairment
T1601,modify system image,TA0112,defense impairment
T1601.001,patch system image,TA0112,defense impairment
T1601.002,downgrade system image,TA0112,defense impairment
T1602,data from configuration repository,TA0009,collection
T1602.001,snmp (mib dump),TA0009,collection
T1602.002,network device configuration dump,TA0009,collection
T1606,forge web credentials,TA0006,credential access
T1606.001,web cookies,TA0006,credential access
T1606.002,saml tokens,TA0006,credential access
T1608,stage capabilities,TA0042,resource development
T1608.001,upload malware,TA0042,resource development
T1608.002,upload tool,TA0042,resource development
T1608.003,install digital certificate,TA0042,resource development
T1608.004,drive-by target,TA0042,resource development
T1608.005,link target,TA0042,resource development
T1608.006,seo poisoning,TA0042,resource development
T1609,container administration command,TA0002,execution
T1610,deploy container,TA0002,execution
T1611,escape to host,TA0004,privilege escalation
T1612,build image on host,TA0005,stealth
T1613,container and resource discovery,TA0007,discovery
T1614,system location discovery,TA0007,discovery
T1614.001,system language discovery,TA0007,discovery
T1615,group policy discovery,TA0007,discovery
T1619,cloud storage object discovery,TA0007,discovery
T1620,reflective code loading,TA0005,stealth
T1621,multi-factor authentication request generation,TA0006,credential access
T1622,debugger evasion,TA0005|TA0007,stealth|discovery
T1647,plist file modification,TA0112,defense impairment
T1648,serverless execution,TA0002,execution
T1649,steal or forge authentication certificates,TA0006,credential access
T1650,acquire access,TA0042,resource development
T1651,cloud administration command,TA0002,execution
T1652,device driver discovery,TA0007,discovery
T1653,power settings,TA0003,persistence
T1654,log enumeration,TA0007,discovery
T1656,impersonation,TA0005,stealth
T1657,financial theft,TA0040,impact
T1659,content injection,TA0001|TA0011,initial access|command and control
T1665,hide infrastructure,TA0011,command and control
T1666,modify cloud resource hierarchy,TA0112,defense impairment
T1667,email bombing,TA0040,impact
T1668,exclusive control,TA0003,persistence
T1669,wi-fi networks,TA0001,initial access
T1671,cloud application integration,TA0003,persistence
T1672,email spoofing,TA0005,stealth
T1673,virtual machine discovery,TA0007,discovery
T1674,input injection,TA0002,execution
T1675,esxi administration command,TA0002,execution
T1677,poisoned pipeline execution,TA0002,execution
T1678,delay execution,TA0005,stealth
T1679,selective exclusion,TA0005,stealth
T1680,local storage discovery,TA0007,discovery
T1681,search threat vendor data,TA0043,reconnaissance
T1682,query public ai services,TA0043,reconnaissance
T1683,generate content,TA0042,resource development
T1683.001,written content,TA0042,resource development
T1683.002,audio-visual content,TA0042,resource development
T1684,social engineering,TA0005,stealth
T1684.001,impersonation,TA0005,stealth
T1684.002,email spoofing,TA0005,stealth
T1685,disable or modify tools,TA0112,defense impairment
T1685.001,disable or modify windows event log,TA0112,defense impairment
T1685.002,disable or modify cloud log,TA0112,defense impairment
T1685.003,modify or spoof tool ui,TA0112,defense impairment
T1685.004,disable or modify linux audit system log,TA0112,defense impairment
T1685.005,clear windows event logs,TA0112,defense impairment
T1685.006,clear linux or mac system logs,TA0112,defense impairment
T1686,disable or modify system firewall,TA0112,defense impairment
T1686.001,cloud firewall,TA0112,defense impairment
T1686.002,network device firewall,TA0112,defense impairment
T1686.003,windows host firewall,TA0112,defense impairment
T1687,exploitation for defense impairment,TA0112,defense impairment
T1688,safe mode boot,TA0112,defense impairment
T1689,downgrade attack,TA0112,defense impairment
T1690,prevent command history logging,TA0112,defense impairment
